course_code,course_title,total_teaching_hours,hours_per_week,max_marks,credits,course_type,outcomes,units
MDS372,N/A,Total Teaching Hours for Trimester: 60,No of hours per week: 5,Max Marks: 100,Credits: 4,Course Type: Major Course,"CO1: Understand the essence of research and the Understand the essence of research and the, CO2: Explore the fundamental concepts of data science Explore the fundamental concepts of data science, CO3: Understand various machine learning algorithms used in data science process Understand various machine learning algorithms used in data science process, CO4: Learn to think through the ethics surrounding privacy, data sharing and algorithmic Learn to think through the ethics surrounding privacy, data sharing and algorithmic, CO5: Create scientific reports according to specified standards Create scientific reports according to specified standards","Unit 1: Introduction to Digital Image and Video Processing hours, Unit 2: Gene Selection using Omics Data hours, Unit 3: Microarray Data Optimization hours, Unit 4: Python for Bioinformatics working with BioPython hours, Unit 5: The Genetic Code hours, Introduction - Components of CNN Architecture - Rectified Linear Unit (ReLU) Layer -: Optimization Models hours, Exponential Linear Unit (ELU, or SELU), types of CNN Architectures, alexnet, zfnet,: Optimization Models hours"
MDS341A,N/A,Total Teaching Hours for Trimester: 60,No of hours per week: 5,Max Marks: 100,Credits: 4,Course Type: Major Course,"CO1: Understand the essence of research and the Understand the essence of research and the, CO2: Explore the fundamental concepts of data science Explore the fundamental concepts of data science, CO3: Understand various machine learning algorithms used in data science process Understand various machine learning algorithms used in data science process, CO4: Learn to think through the ethics surrounding privacy, data sharing and algorithmic Learn to think through the ethics surrounding privacy, data sharing and algorithmic, CO5: Create scientific reports according to specified standards Create scientific reports according to specified standards","Unit 1: Introduction to Digital Image and Video Processing hours, Unit 2: Gene Selection using Omics Data hours, Unit 3: Microarray Data Optimization hours, Unit 4: Python for Bioinformatics working with BioPython hours, Unit 5: The Genetic Code hours, Introduction - Components of CNN Architecture - Rectified Linear Unit (ReLU) Layer -: Optimization Models hours, Exponential Linear Unit (ELU, or SELU), types of CNN Architectures, alexnet, zfnet,: Optimization Models hours"
MDS341B,N/A,Total Teaching Hours for Trimester: 60,No of hours per week: 5,Max Marks: 100,Credits: 4,Course Type: Major Course,"CO1: Understand the essence of research and the Understand the essence of research and the, CO2: Explore the fundamental concepts of data science Explore the fundamental concepts of data science, CO3: Understand various machine learning algorithms used in data science process Understand various machine learning algorithms used in data science process, CO4: Learn to think through the ethics surrounding privacy, data sharing and algorithmic Learn to think through the ethics surrounding privacy, data sharing and algorithmic, CO5: Create scientific reports according to specified standards Create scientific reports according to specified standards","Unit 1: Introduction to Digital Image and Video Processing hours, Unit 2: Gene Selection using Omics Data hours, Unit 3: Microarray Data Optimization hours, Unit 4: Python for Bioinformatics working with BioPython hours, Unit 5: The Genetic Code hours, Introduction - Components of CNN Architecture - Rectified Linear Unit (ReLU) Layer -: Optimization Models hours, Exponential Linear Unit (ELU, or SELU), types of CNN Architectures, alexnet, zfnet,: Optimization Models hours"
MDS231,N/A,Total Teaching Hours for Trimester: 60,No of hours per week: 5,Max Marks: 100,Credits: 4,Course Type: Major Course,"CO1: Understand the essence of research and the Understand the essence of research and the, CO2: Explore the fundamental concepts of data science Explore the fundamental concepts of data science, CO3: Understand various machine learning algorithms used in data science process Understand various machine learning algorithms used in data science process, CO4: Learn to think through the ethics surrounding privacy, data sharing and algorithmic Learn to think through the ethics surrounding privacy, data sharing and algorithmic, CO5: Create scientific reports according to specified standards Create scientific reports according to specified standards","Unit 1: Introduction to Digital Image and Video Processing hours, Unit 2: Gene Selection using Omics Data hours, Unit 3: Microarray Data Optimization hours, Unit 4: Python for Bioinformatics working with BioPython hours, Unit 5: The Genetic Code hours, Introduction - Components of CNN Architecture - Rectified Linear Unit (ReLU) Layer -: Optimization Models hours, Exponential Linear Unit (ELU, or SELU), types of CNN Architectures, alexnet, zfnet,: Optimization Models hours"
MDS232,N/A,Total Teaching Hours for Trimester: 60,No of hours per week: 5,Max Marks: 100,Credits: 4,Course Type: Major Course,"CO1: Understand the essence of research and the Understand the essence of research and the, CO2: Explore the fundamental concepts of data science Explore the fundamental concepts of data science, CO3: Understand various machine learning algorithms used in data science process Understand various machine learning algorithms used in data science process, CO4: Learn to think through the ethics surrounding privacy, data sharing and algorithmic Learn to think through the ethics surrounding privacy, data sharing and algorithmic, CO5: Create scientific reports according to specified standards Create scientific reports according to specified standards","Unit 1: Introduction to Digital Image and Video Processing hours, Unit 2: Gene Selection using Omics Data hours, Unit 3: Microarray Data Optimization hours, Unit 4: Python for Bioinformatics working with BioPython hours, Unit 5: The Genetic Code hours, Introduction - Components of CNN Architecture - Rectified Linear Unit (ReLU) Layer -: Optimization Models hours, Exponential Linear Unit (ELU, or SELU), types of CNN Architectures, alexnet, zfnet,: Optimization Models hours"
MDS271,N/A,Total Teaching Hours for Trimester: 60,No of hours per week: 5,Max Marks: 100,Credits: 4,Course Type: Major Course,"CO1: Understand the essence of research and the Understand the essence of research and the, CO2: Explore the fundamental concepts of data science Explore the fundamental concepts of data science, CO3: Understand various machine learning algorithms used in data science process Understand various machine learning algorithms used in data science process, CO4: Learn to think through the ethics surrounding privacy, data sharing and algorithmic Learn to think through the ethics surrounding privacy, data sharing and algorithmic, CO5: Create scientific reports according to specified standards Create scientific reports according to specified standards","Unit 1: Introduction to Digital Image and Video Processing hours, Unit 2: Gene Selection using Omics Data hours, Unit 3: Microarray Data Optimization hours, Unit 4: Python for Bioinformatics working with BioPython hours, Unit 5: The Genetic Code hours, Introduction - Components of CNN Architecture - Rectified Linear Unit (ReLU) Layer -: Optimization Models hours, Exponential Linear Unit (ELU, or SELU), types of CNN Architectures, alexnet, zfnet,: Optimization Models hours"
MDS272,N/A,Total Teaching Hours for Trimester: 60,No of hours per week: 5,Max Marks: 100,Credits: 4,Course Type: Major Course,"CO1: Understand the essence of research and the Understand the essence of research and the, CO2: Explore the fundamental concepts of data science Explore the fundamental concepts of data science, CO3: Understand various machine learning algorithms used in data science process Understand various machine learning algorithms used in data science process, CO4: Learn to think through the ethics surrounding privacy, data sharing and algorithmic Learn to think through the ethics surrounding privacy, data sharing and algorithmic, CO5: Create scientific reports according to specified standards Create scientific reports according to specified standards","Unit 1: Introduction to Digital Image and Video Processing hours, Unit 2: Gene Selection using Omics Data hours, Unit 3: Microarray Data Optimization hours, Unit 4: Python for Bioinformatics working with BioPython hours, Unit 5: The Genetic Code hours, Introduction - Components of CNN Architecture - Rectified Linear Unit (ReLU) Layer -: Optimization Models hours, Exponential Linear Unit (ELU, or SELU), types of CNN Architectures, alexnet, zfnet,: Optimization Models hours"
MDS273,N/A,Total Teaching Hours for Trimester: 60,No of hours per week: 5,Max Marks: 100,Credits: 4,Course Type: Major Course,"CO1: Understand the essence of research and the Understand the essence of research and the, CO2: Explore the fundamental concepts of data science Explore the fundamental concepts of data science, CO3: Understand various machine learning algorithms used in data science process Understand various machine learning algorithms used in data science process, CO4: Learn to think through the ethics surrounding privacy, data sharing and algorithmic Learn to think through the ethics surrounding privacy, data sharing and algorithmic, CO5: Create scientific reports according to specified standards Create scientific reports according to specified standards","Unit 1: Introduction to Digital Image and Video Processing hours, Unit 2: Gene Selection using Omics Data hours, Unit 3: Microarray Data Optimization hours, Unit 4: Python for Bioinformatics working with BioPython hours, Unit 5: The Genetic Code hours, Introduction - Components of CNN Architecture - Rectified Linear Unit (ReLU) Layer -: Optimization Models hours, Exponential Linear Unit (ELU, or SELU), types of CNN Architectures, alexnet, zfnet,: Optimization Models hours"
MDS381,N/A,Total Teaching Hours for Trimester: 60,No of hours per week: 5,Max Marks: 100,Credits: 4,Course Type: Major Course,"CO1: Understand the essence of research and the Understand the essence of research and the, CO2: Explore the fundamental concepts of data science Explore the fundamental concepts of data science, CO3: Understand various machine learning algorithms used in data science process Understand various machine learning algorithms used in data science process, CO4: Learn to think through the ethics surrounding privacy, data sharing and algorithmic Learn to think through the ethics surrounding privacy, data sharing and algorithmic, CO5: Create scientific reports according to specified standards Create scientific reports according to specified standards","Unit 1: Introduction to Digital Image and Video Processing hours, Unit 2: Gene Selection using Omics Data hours, Unit 3: Microarray Data Optimization hours, Unit 4: Python for Bioinformatics working with BioPython hours, Unit 5: The Genetic Code hours, Introduction - Components of CNN Architecture - Rectified Linear Unit (ReLU) Layer -: Optimization Models hours, Exponential Linear Unit (ELU, or SELU), types of CNN Architectures, alexnet, zfnet,: Optimization Models hours"
MDS311,N/A,Total Teaching Hours for Trimester: 60,No of hours per week: 5,Max Marks: 100,Credits: 4,Course Type: Major Course,"CO1: Understand the essence of research and the Understand the essence of research and the, CO2: Explore the fundamental concepts of data science Explore the fundamental concepts of data science, CO3: Understand various machine learning algorithms used in data science process Understand various machine learning algorithms used in data science process, CO4: Learn to think through the ethics surrounding privacy, data sharing and algorithmic Learn to think through the ethics surrounding privacy, data sharing and algorithmic, CO5: Create scientific reports according to specified standards Create scientific reports according to specified standards","Unit 1: Introduction to Digital Image and Video Processing hours, Unit 2: Gene Selection using Omics Data hours, Unit 3: Microarray Data Optimization hours, Unit 4: Python for Bioinformatics working with BioPython hours, Unit 5: The Genetic Code hours, Introduction - Components of CNN Architecture - Rectified Linear Unit (ReLU) Layer -: Optimization Models hours, Exponential Linear Unit (ELU, or SELU), types of CNN Architectures, alexnet, zfnet,: Optimization Models hours"
MDS431,N/A,Total Teaching Hours for Trimester: 60,No of hours per week: 5,Max Marks: 100,Credits: 4,Course Type: Major Course,"CO1: Understand the essence of research and the Understand the essence of research and the, CO2: Explore the fundamental concepts of data science Explore the fundamental concepts of data science, CO3: Understand various machine learning algorithms used in data science process Understand various machine learning algorithms used in data science process, CO4: Learn to think through the ethics surrounding privacy, data sharing and algorithmic Learn to think through the ethics surrounding privacy, data sharing and algorithmic, CO5: Create scientific reports according to specified standards Create scientific reports according to specified standards","Unit 1: Introduction to Digital Image and Video Processing hours, Unit 2: Gene Selection using Omics Data hours, Unit 3: Microarray Data Optimization hours, Unit 4: Python for Bioinformatics working with BioPython hours, Unit 5: The Genetic Code hours, Introduction - Components of CNN Architecture - Rectified Linear Unit (ReLU) Layer -: Optimization Models hours, Exponential Linear Unit (ELU, or SELU), types of CNN Architectures, alexnet, zfnet,: Optimization Models hours"
MDS432,N/A,Total Teaching Hours for Trimester: 60,No of hours per week: 5,Max Marks: 100,Credits: 4,Course Type: Major Course,"CO1: Understand the essence of research and the Understand the essence of research and the, CO2: Explore the fundamental concepts of data science Explore the fundamental concepts of data science, CO3: Understand various machine learning algorithms used in data science process Understand various machine learning algorithms used in data science process, CO4: Learn to think through the ethics surrounding privacy, data sharing and algorithmic Learn to think through the ethics surrounding privacy, data sharing and algorithmic, CO5: Create scientific reports according to specified standards Create scientific reports according to specified standards","Unit 1: Introduction to Digital Image and Video Processing hours, Unit 2: Gene Selection using Omics Data hours, Unit 3: Microarray Data Optimization hours, Unit 4: Python for Bioinformatics working with BioPython hours, Unit 5: The Genetic Code hours, Introduction - Components of CNN Architecture - Rectified Linear Unit (ReLU) Layer -: Optimization Models hours, Exponential Linear Unit (ELU, or SELU), types of CNN Architectures, alexnet, zfnet,: Optimization Models hours"
MDS471,N/A,Total Teaching Hours for Trimester: 60,No of hours per week: 5,Max Marks: 100,Credits: 4,Course Type: Major Course,"CO1: Understand the essence of research and the Understand the essence of research and the, CO2: Explore the fundamental concepts of data science Explore the fundamental concepts of data science, CO3: Understand various machine learning algorithms used in data science process Understand various machine learning algorithms used in data science process, CO4: Learn to think through the ethics surrounding privacy, data sharing and algorithmic Learn to think through the ethics surrounding privacy, data sharing and algorithmic, CO5: Create scientific reports according to specified standards Create scientific reports according to specified standards","Unit 1: Introduction to Digital Image and Video Processing hours, Unit 2: Gene Selection using Omics Data hours, Unit 3: Microarray Data Optimization hours, Unit 4: Python for Bioinformatics working with BioPython hours, Unit 5: The Genetic Code hours, Introduction - Components of CNN Architecture - Rectified Linear Unit (ReLU) Layer -: Optimization Models hours, Exponential Linear Unit (ELU, or SELU), types of CNN Architectures, alexnet, zfnet,: Optimization Models hours"
MDS472A,N/A,Total Teaching Hours for Trimester: 60,No of hours per week: 5,Max Marks: 100,Credits: 4,Course Type: Major Course,"CO1: Understand the essence of research and the Understand the essence of research and the, CO2: Explore the fundamental concepts of data science Explore the fundamental concepts of data science, CO3: Understand various machine learning algorithms used in data science process Understand various machine learning algorithms used in data science process, CO4: Learn to think through the ethics surrounding privacy, data sharing and algorithmic Learn to think through the ethics surrounding privacy, data sharing and algorithmic, CO5: Create scientific reports according to specified standards Create scientific reports according to specified standards","Unit 1: Introduction to Digital Image and Video Processing hours, Unit 2: Gene Selection using Omics Data hours, Unit 3: Microarray Data Optimization hours, Unit 4: Python for Bioinformatics working with BioPython hours, Unit 5: The Genetic Code hours, Introduction - Components of CNN Architecture - Rectified Linear Unit (ReLU) Layer -: Optimization Models hours, Exponential Linear Unit (ELU, or SELU), types of CNN Architectures, alexnet, zfnet,: Optimization Models hours"
MDS472B,N/A,Total Teaching Hours for Trimester: 60,No of hours per week: 5,Max Marks: 100,Credits: 4,Course Type: Major Course,"CO1: Understand the essence of research and the Understand the essence of research and the, CO2: Explore the fundamental concepts of data science Explore the fundamental concepts of data science, CO3: Understand various machine learning algorithms used in data science process Understand various machine learning algorithms used in data science process, CO4: Learn to think through the ethics surrounding privacy, data sharing and algorithmic Learn to think through the ethics surrounding privacy, data sharing and algorithmic, CO5: Create scientific reports according to specified standards Create scientific reports according to specified standards","Unit 1: Introduction to Digital Image and Video Processing hours, Unit 2: Gene Selection using Omics Data hours, Unit 3: Microarray Data Optimization hours, Unit 4: Python for Bioinformatics working with BioPython hours, Unit 5: The Genetic Code hours, Introduction - Components of CNN Architecture - Rectified Linear Unit (ReLU) Layer -: Optimization Models hours, Exponential Linear Unit (ELU, or SELU), types of CNN Architectures, alexnet, zfnet,: Optimization Models hours"
MDS472C,N/A,Total Teaching Hours for Trimester: 60,No of hours per week: 5,Max Marks: 100,Credits: 4,Course Type: Major Course,"CO1: Understand the essence of research and the Understand the essence of research and the, CO2: Explore the fundamental concepts of data science Explore the fundamental concepts of data science, CO3: Understand various machine learning algorithms used in data science process Understand various machine learning algorithms used in data science process, CO4: Learn to think through the ethics surrounding privacy, data sharing and algorithmic Learn to think through the ethics surrounding privacy, data sharing and algorithmic, CO5: Create scientific reports according to specified standards Create scientific reports according to specified standards","Unit 1: Introduction to Digital Image and Video Processing hours, Unit 2: Gene Selection using Omics Data hours, Unit 3: Microarray Data Optimization hours, Unit 4: Python for Bioinformatics working with BioPython hours, Unit 5: The Genetic Code hours, Introduction - Components of CNN Architecture - Rectified Linear Unit (ReLU) Layer -: Optimization Models hours, Exponential Linear Unit (ELU, or SELU), types of CNN Architectures, alexnet, zfnet,: Optimization Models hours"
MDS472D,N/A,Total Teaching Hours for Trimester: 60,No of hours per week: 5,Max Marks: 100,Credits: 4,Course Type: Major Course,"CO1: Understand the essence of research and the Understand the essence of research and the, CO2: Explore the fundamental concepts of data science Explore the fundamental concepts of data science, CO3: Understand various machine learning algorithms used in data science process Understand various machine learning algorithms used in data science process, CO4: Learn to think through the ethics surrounding privacy, data sharing and algorithmic Learn to think through the ethics surrounding privacy, data sharing and algorithmic, CO5: Create scientific reports according to specified standards Create scientific reports according to specified standards","Unit 1: Introduction to Digital Image and Video Processing hours, Unit 2: Gene Selection using Omics Data hours, Unit 3: Microarray Data Optimization hours, Unit 4: Python for Bioinformatics working with BioPython hours, Unit 5: The Genetic Code hours, Introduction - Components of CNN Architecture - Rectified Linear Unit (ReLU) Layer -: Optimization Models hours, Exponential Linear Unit (ELU, or SELU), types of CNN Architectures, alexnet, zfnet,: Optimization Models hours"
MDS481,N/A,Total Teaching Hours for Trimester: 60,No of hours per week: 5,Max Marks: 100,Credits: 4,Course Type: Major Course,"CO1: Understand the essence of research and the Understand the essence of research and the, CO2: Explore the fundamental concepts of data science Explore the fundamental concepts of data science, CO3: Understand various machine learning algorithms used in data science process Understand various machine learning algorithms used in data science process, CO4: Learn to think through the ethics surrounding privacy, data sharing and algorithmic Learn to think through the ethics surrounding privacy, data sharing and algorithmic, CO5: Create scientific reports according to specified standards Create scientific reports according to specified standards","Unit 1: Introduction to Digital Image and Video Processing hours, Unit 2: Gene Selection using Omics Data hours, Unit 3: Microarray Data Optimization hours, Unit 4: Python for Bioinformatics working with BioPython hours, Unit 5: The Genetic Code hours, Introduction - Components of CNN Architecture - Rectified Linear Unit (ReLU) Layer -: Optimization Models hours, Exponential Linear Unit (ELU, or SELU), types of CNN Architectures, alexnet, zfnet,: Optimization Models hours"
MDS482,N/A,Total Teaching Hours for Trimester: 60,No of hours per week: 5,Max Marks: 100,Credits: 4,Course Type: Major Course,"CO1: Understand the essence of research and the Understand the essence of research and the, CO2: Explore the fundamental concepts of data science Explore the fundamental concepts of data science, CO3: Understand various machine learning algorithms used in data science process Understand various machine learning algorithms used in data science process, CO4: Learn to think through the ethics surrounding privacy, data sharing and algorithmic Learn to think through the ethics surrounding privacy, data sharing and algorithmic, CO5: Create scientific reports according to specified standards Create scientific reports according to specified standards","Unit 1: Introduction to Digital Image and Video Processing hours, Unit 2: Gene Selection using Omics Data hours, Unit 3: Microarray Data Optimization hours, Unit 4: Python for Bioinformatics working with BioPython hours, Unit 5: The Genetic Code hours, Introduction - Components of CNN Architecture - Rectified Linear Unit (ReLU) Layer -: Optimization Models hours, Exponential Linear Unit (ELU, or SELU), types of CNN Architectures, alexnet, zfnet,: Optimization Models hours"
MDS571,N/A,Total Teaching Hours for Trimester: 60,No of hours per week: 5,Max Marks: 100,Credits: 4,Course Type: Major Course,"CO1: Understand the essence of research and the Understand the essence of research and the, CO2: Explore the fundamental concepts of data science Explore the fundamental concepts of data science, CO3: Understand various machine learning algorithms used in data science process Understand various machine learning algorithms used in data science process, CO4: Learn to think through the ethics surrounding privacy, data sharing and algorithmic Learn to think through the ethics surrounding privacy, data sharing and algorithmic, CO5: Create scientific reports according to specified standards Create scientific reports according to specified standards","Unit 1: Introduction to Digital Image and Video Processing hours, Unit 2: Gene Selection using Omics Data hours, Unit 3: Microarray Data Optimization hours, Unit 4: Python for Bioinformatics working with BioPython hours, Unit 5: The Genetic Code hours, Introduction - Components of CNN Architecture - Rectified Linear Unit (ReLU) Layer -: Optimization Models hours, Exponential Linear Unit (ELU, or SELU), types of CNN Architectures, alexnet, zfnet,: Optimization Models hours"
